locus_id	nearest_gene	confidence_tier	n_samples	low_brain_expr	log2FC	de_pvalue	n_correlated_genes	mfe_per_nt	disorder_index	delta_disorder	is_structural_switcher	de_score	corr_score	struct_score	conf_score	switcher_bonus	composite_score
LNC_L00295	POLR2J2	HIGH	6	True	1.281	0.03	88	-0.4586	0.1523	0.1471	True	1.0	0.16266173752310537	0.832548755884331	1.0	0.1	1.0
LNC_L00284	RCC1L	HIGH	3	False	-0.556	0.2748	53	-0.5084			False	0.4340359094457456	0.09796672828096119	1.0	1.0	0.0	0.7092
LNC_L00160	SMIM47	HIGH	2	True	-0.063	0.9341	124	-0.4447	0.2866	0.1086	True	0.049180327868852465	0.22920517560073936	0.7858103564223268	1.0	0.1	0.666
LNC_L00064	SLC6A12	HIGH	4	False	0.582	0.2171	95	-0.386			False	0.45433255269320844	0.1756007393715342	0.5884330867518495	1.0	0.0	0.6169
LNC_L00022	SEC22B	LOW	1	False	1.267	0.0369	121	-0.3339			False	0.9890710382513661	0.22365988909426987	0.41324815063887016	0.0	0.0	0.5319
LNC_L00250	C4B	MEDIUM	2	False	-0.587	0.2973	100	-0.3819			False	0.45823575331772054	0.18484288354898337	0.5746469401479489	0.5	0.0	0.4978
LNC_L00038	DAP3	LOW	2	False	1.145	0.1	58	-0.3471			False	0.893832943013271	0.10720887245841035	0.45763281775386694	0.0	0.0	0.4765
LNC_L00281	FKBP6	HIGH	2	True	-0.012	0.9805	100	-0.2612	0.3039	0.0749	True	0.00936768149882904	0.18484288354898337	0.16879623402824478	1.0	0.1	0.4548
LNC_L00245	GMNN	LOW	0	False	-0.199	0.2848	541	-0.3061			False	0.15534738485558158	1.0	0.3197713517148621	0.0	0.0	0.4373
LNC_L00336	CTAG2	MEDIUM	2	True	0.072	0.9188	28	-0.4032			False	0.05620608899297424	0.051756007393715345	0.6462676529926026	0.5	0.0	0.3359
LNC_L00224	ZNF717	LOW	1	False	1.029	0.3738	30	-0.239			False	0.8032786885245902	0.05545286506469501	0.09414929388029589	0.0	0.0	0.3204
LNC_L00200	LIPI	MEDIUM	2	True	-0.201	0.3579	66	-0.3301			False	0.15690866510538642	0.12199630314232902	0.4004707464694015	0.5	0.0	0.3196
LNC_L00091	DPF3	LOW	1	False	0.663	0.5513	64	-0.3083			False	0.5175644028103045	0.11829944547134935	0.32716879623402834	0.0	0.0	0.3063
LNC_L00170	C2orf74	LOW	0	False	-0.388	0.5648	61	-0.3745			False	0.30288836846213896	0.11275415896487985	0.5497646267652992	0.0	0.0	0.2943
LNC_L00198	LIPI	LOW	1	True	-0.396	0.4091	56	-0.3749			False	0.3091334894613583	0.10351201478743069	0.551109616677875	0.0	0.0	0.2942
LNC_L00299	NUB1	LOW	1	False	0.727	0.321	41	-0.2761			False	0.5675253708040594	0.07578558225508318	0.21889710827168804	0.0	0.0	0.2793
LNC_L00088	ABHD4	LOW	1	False	-0.662	0.6258	52	-0.2879			False	0.516783762685402	0.09611829944547134	0.2585743106926698	0.0	0.0	0.279
LNC_L00123	CDRT15L2	LOW	1	True	0.107	0.6918	51	-0.4361			False	0.08352849336455895	0.09426987060998152	0.7568930733019502	0.0	0.0	0.272
LNC_L00037	MTX1	LOW	1	False	-0.205	0.6674	51	-0.4086			False	0.1600312256049961	0.09426987060998152	0.664425016812374	0.0	0.0	0.2719
LNC_L00214	PRRT3	LOW	1	False	0.251	0.595	39	-0.3857			False	0.19594067135050744	0.07208872458410351	0.5874243443174176	0.0	0.0	0.2552
LNC_L00197	LIPI	LOW	1	True	0.204	0.3645	33	-0.3797			False	0.1592505854800937	0.06099815157116451	0.5672494956287828	0.0	0.0	0.2327
LNC_L00189	MZT2A	LOW	1	False	0.243	0.5226	44	-0.3137			False	0.18969555035128807	0.08133086876155268	0.34532616005379957	0.0	0.0	0.1836
LNC_L00154	ZNF429	LOW	1	False	0.172	0.6834	55	-0.3117			False	0.13427010148321625	0.10166358595194085	0.3386012104909213	0.0	0.0	0.1678
LNC_L00146	ZNF397	LOW	0	False	0.262	0.7427	61	-0.2754			False	0.20452771272443407	0.11275415896487985	0.2165433759246805	0.0	0.0	0.1599
LNC_L00253	HMGA1	MEDIUM	0	False	0.04	0.8667	64	-0.2119			False	0.031225604996096803	0.11829944547134935	0.0030262273032952655	0.5	0.0	0.1551
LNC_L00320	FOXD4L5	LOW	1	True	0.196	0.4651	70	-0.2464			False	0.15300546448087432	0.12939001848428835	0.11903160726294558	0.0	0.0	0.1174
LNC_L00145	L3MBTL4	LOW	0	False	0.18	0.1676	44	-0.2592			False	0.14051522248243561	0.08133086876155268	0.16207128446536648	0.0	0.0	0.1114
LNC_L00317	FOXD4L5	LOW	0	True	-0.021	0.9819	39	-0.211			False	0.01639344262295082	0.07208872458410351	0.0	0.0	0.0	0.016
LNC_L00256	SMAP1	LOW	1	False			0	-0.2223			False	0.0	0.0	0.037995965030262285	0.0	0.0	0.0
