locus_id	SRR31451017	SRR31451018	SRR31451019	SRR31451020	SRR31451021	SRR31451022	SRR31451023	SRR31451024	SRR31451025	SRR31451026	SRR31451027	SRR31451028	SRR31451029	SRR31451030	SRR31451031	SRR31451032	SRR31451033	SRR31451034	SRR31451035	SRR31451036	SRR31451037	SRR31451038	SRR31451039	SRR31451040	SRR31451041	SRR31451042
LNC_L00022	6	1	4	1	1	0	4	1	3	2	3	0	1	2	2	2	1	6	2	3	2	5	4	14	0	8
LNC_L00037	4	2	6	11	3	2	0	3	12	1	11	2	3	3	1	0	3	0	1	0	4	2	3	2	0	1
LNC_L00038	3	0	3	3	0	1	0	0	1	0	4	1	3	3	1	1	2	1	0	2	1	0	2	0	0	0
LNC_L00064	1	1	4	8	5	3	7	6	11	2	6	1	5	3	8	6	0	4	4	15	0	6	6	5	4	8
LNC_L00088	0	0	3	4	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0
LNC_L00091	3	0	0	1	0	2	0	0	3	0	0	1	0	1	4	0	0	1	0	0	0	1	0	0	0	1
LNC_L00123	13	4	7	31	6	10	9	13	27	2	9	5	5	11	8	12	10	14	5	4	8	5	11	12	7	5
LNC_L00145	120	101	97	309	120	91	75	229	230	49	142	96	162	150	102	88	57	92	92	99	135	87	121	113	56	104
LNC_L00146	2	0	1	2	0	1	1	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0
LNC_L00154	7	0	1	4	3	5	3	4	6	1	2	1	3	1	2	3	0	1	2	1	4	2	2	2	1	2
LNC_L00160	9	0	3	4	1	4	0	2	31	0	1	1	8	3	8	4	0	1	1	2	1	0	1	0	1	0
LNC_L00170	2	1	2	0	0	4	1	1	3	1	2	0	2	4	1	0	0	0	0	1	1	0	2	0	0	1
LNC_L00189	2	8	5	12	3	5	8	16	11	2	17	3	7	7	10	15	7	1	6	4	3	4	6	5	0	3
LNC_L00197	14	8	12	22	6	6	8	13	38	6	14	10	11	8	10	8	3	8	9	8	8	11	17	11	2	11
LNC_L00198	2	1	3	8	1	3	2	2	3	1	2	1	0	3	1	2	0	1	1	2	1	2	1	2	1	2
LNC_L00200	17	16	15	35	11	9	12	35	59	2	28	17	16	16	15	6	5	4	9	5	9	8	12	17	4	11
LNC_L00214	4	0	3	3	1	9	3	1	11	2	5	1	3	1	3	3	3	2	0	0	3	3	2	6	2	6
LNC_L00224	0	0	1	0	0	0	0	0	7	0	0	0	0	0	2	1	0	0	0	1	0	2	2	0	2	2
LNC_L00245	292	174	189	432	146	180	142	355	631	92	247	370	235	228	149	131	95	132	50	122	82	81	125	137	50	107
LNC_L00250	4	5	2	5	5	2	0	2	1	2	3	0	1	0	1	1	2	2	0	1	0	2	2	2	1	0
LNC_L00253	36	19	21	58	30	31	32	72	65	14	31	54	40	22	33	40	23	23	17	16	9	11	9	26	15	33
LNC_L00256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LNC_L00281	1	3	4	3	3	4	7	2	1	2	7	2	1	3	1	2	1	2	2	4	2	1	2	3	4	4
LNC_L00284	3	2	2	8	1	2	2	4	2	1	2	1	0	1	1	0	3	0	1	2	0	0	1	2	0	2
LNC_L00295	4	1	4	6	0	1	2	1	5	0	0	3	5	8	0	1	4	3	0	7	5	5	3	5	4	1
LNC_L00299	1	0	1	2	1	0	0	1	4	0	6	2	1	1	0	0	0	1	1	0	2	1	1	1	0	0
LNC_L00317	0	0	3	0	0	5	0	3	1	0	0	2	1	2	0	2	1	0	0	1	0	1	0	0	2	3
LNC_L00320	13	13	7	19	4	10	4	11	11	7	17	9	14	13	6	4	5	6	3	6	4	7	4	11	8	4
LNC_L00336	0	1	2	4	2	0	0	4	6	0	3	0	0	2	3	3	0	0	1	0	2	0	4	4	0	0
